protein1	protein2	combined_score
KCNJ6	GNAI1	0.903
DHDH	GALK2	0.829
UAP1	GALK2	0.779
UAP1	GALE	0.886
GALM	G3V4G9_HUMAN	0.766
GALM	IL11RA	0.766
GALM	GALT	0.937
GALM	GALK2	0.963
GALM	GALE	0.988
GALT	IL11RA	0.93
GALT	GALK2	0.964
GALT	GALE	0.999
IL11RA	GALK2	0.909
IL11RA	GALE	0.961
G3V4G9_HUMAN	GALK2	0.933
G3V4G9_HUMAN	GALE	0.961
GALK2	GALE	0.991
GAREM1	SHC1	0.815
GAREM1	GRB2	0.975
GRB2	SHC1	0.999
GGT1	GGT5	0.923
GGT1	GGT7	0.93
GGT1	GCLM	0.935
GGT1	OPLAH	0.936
GGT1	GCLC	0.944
GGT1	ANPEP	0.946
GGT1	GGT6	0.947
GGT1	GSS	0.96
GGT1	GGCT	0.968
GGCT	ANPEP	0.902
GGCT	GCLM	0.921
GGCT	GCLC	0.922
GGCT	GSS	0.926
GGCT	GGT6	0.938
GGCT	GGT5	0.938
GGCT	GGT7	0.939
GGCT	OPLAH	0.966
ANPEP	GSS	0.921
ANPEP	GCLM	0.924
ANPEP	GCLC	0.93
ANPEP	GGT5	0.946
ANPEP	GGT7	0.949
ANPEP	GGT6	0.953
GGT7	GCLM	0.915
GGT7	GCLC	0.925
GGT7	OPLAH	0.935
GGT7	GGT5	0.94
GGT7	GGT6	0.946
GGT7	GSS	0.959
GCLM	GGT5	0.918
GCLM	GGT6	0.919
GCLM	OPLAH	0.935
GCLM	NFE2L2	0.951
GCLM	GSS	0.989
GCLM	GCLC	0.999
GGT6	OPLAH	0.922
GGT6	GCLC	0.942
GGT6	GGT5	0.961
GGT6	GSS	0.962
NFE2L2	GCLC	0.966
GGT5	GCLC	0.923
GGT5	OPLAH	0.948
GGT5	GSS	0.955
OPLAH	GCLC	0.959
GSS	GCLC	0.995
MYO6	GIPC2	0.862
GIPC2	SH3BP4	0.719
PA2G4	NOC2L	0.788
PA2G4	GNL1	0.894
PA2G4	EEF1A1	0.896
PA2G4	BOP1	0.929
PA2G4	PES1	0.994
PA2G4	EIF6	0.994
PA2G4	GTPBP4	0.996
PA2G4	NMD3	0.998
PA2G4	RPL5	0.999
NOC2L	GNL1	0.848
NOC2L	EIF6	0.977
NOC2L	GTPBP4	0.997
NOC2L	BOP1	0.998
NOC2L	PES1	0.999
EEF1A1	HSF1	0.955
EEF1A1	GNL1	0.969
EEF1A1	RPL5	0.995
PES1	GNL1	0.85
PES1	NMD3	0.907
PES1	RPL5	0.983
PES1	EIF6	0.988
PES1	GTPBP4	0.999
PES1	BOP1	0.999
GTPBP4	GNL1	0.886
GTPBP4	RPL5	0.986
GTPBP4	BOP1	0.996
GTPBP4	EIF6	0.998
GTPBP4	NMD3	0.998
RPL5	GNL1	0.852
RPL5	BOP1	0.887
RPL5	NMD3	0.99
RPL5	EIF6	0.997
EIF6	GNL1	0.875
EIF6	BOP1	0.989
EIF6	NMD3	0.997
GNL1	HSF1	0.84
GNL1	BOP1	0.88
GNL1	NMD3	0.947
NMD3	BOP1	0.888
HSF1	BOP1	0.708
STUB1	GPR37	0.773
STUB1	SNCA	0.873
STUB1	PRKN	0.946
SNCAIP	SLC6A3	0.749
SNCAIP	GPR37	0.797
SNCAIP	PRKN	0.999
SNCAIP	SNCA	0.999
SSTR1	GPR37	0.701
SSTR1	CXCL8	0.703
SLC6A3	GPR37	0.783
SLC6A3	PRKN	0.839
SLC6A3	SNCA	0.996
GPR37	GPR37L1	0.7
GPR37	CXCL8	0.721
GPR37	SNCA	0.8
GPR37	PSAP	0.99
GPR37	PRKN	0.995
PRKN	SNCA	0.999
GPR37L1	PSAP	0.958
GSR	GSS	0.961
GSR	PRDX6	0.964
GSR	GPX4	0.98
GSR	GPX8	0.997
GSR	GPX6	0.997
GSR	GPX7	0.997
PPARGC1A	GPX7	0.957
PPARGC1A	GPX6	0.957
PPARGC1A	GPX8	0.957
ALOX15	ALOX5	0.914
ALOX15	ALOX15B	0.916
ALOX15	GPX7	0.929
ALOX15	GPX8	0.929
ALOX15	GPX6	0.931
PRDX6	GSS	0.915
PRDX6	GPX6	0.966
PRDX6	GPX7	0.97
PRDX6	GPX8	0.971
PRDX6	GPX4	0.973
GPX4	GPX7	0.921
GPX4	GPX8	0.929
GPX4	GPX6	0.938
GPX4	GSS	0.944
GPX6	ALOX15B	0.917
GPX6	GPX7	0.921
GPX6	GPX8	0.928
GPX6	ALOX5	0.937
GPX6	GSS	0.943
GPX7	ALOX15B	0.913
GPX7	GPX8	0.917
GPX7	ALOX5	0.937
GPX7	GSS	0.943
ALOX5	ALOX15B	0.916
ALOX5	GPX8	0.937
ALOX15B	GPX8	0.912
GPX8	GSS	0.942
OVOL2	GRHL2	0.832
ESRP1	GRHL2	0.891
CRBN	GSPT1	0.99
RPS3	PABPC1	0.711
RPS3	GSPT1	0.943
RPS3	ETF1	0.959
RPS3	RPS15	0.999
RPS3	RPS23	0.999
RPS3	RPL21	0.999
RPS23	GSPT1	0.967
RPS23	ETF1	0.972
RPS23	RPS15	0.999
RPS23	RPL21	0.999
PABPC1	RPL21	0.723
PABPC1	ETF1	0.735
PABPC1	GSPT2	0.993
PABPC1	GSPT1	0.996
PABPC1	UPF1	0.996
PABPC1	SMG1	0.998
GSPT2	UPF1	0.882
GSPT2	GSPT1	0.991
GSPT2	SMG1	0.996
GSPT2	ETF1	0.997
RPL21	ETF1	0.929
RPL21	GSPT1	0.945
RPL21	RPS15	0.999
ETF1	RPS15	0.923
ETF1	UPF1	0.991
ETF1	SMG1	0.999
ETF1	GSPT1	0.999
GSPT1	RPS15	0.934
GSPT1	SMG1	0.955
GSPT1	UPF1	0.994
SMG1	UPF1	0.999
CDK7	GTF2H2C	0.953
CDK7	GTF2E2	0.989
CDK7	GTF2E1	0.994
CDK7	GTF2H3	0.999
CDK7	ERCC3	0.999
CDK7	GTF2H4	0.999
CDK7	MNAT1	0.999
CDK7	GTF2H2	0.999
CDK7	ERCC2	0.999
CDK7	GTF2H1	0.999
GTF2H4	MNAT1	0.999
GTF2H4	ERCC2	0.999
GTF2H4	GTF2H2	0.999
GTF2H4	GTF2H1	0.999
GTF2H4	GTF2H3	0.999
GTF2H4	GTF2H2C	0.999
GTF2H4	ERCC3	0.999
GTF2H4	GTF2E1	0.999
GTF2H4	GTF2E2	0.999
MNAT1	GTF2H2C	0.961
MNAT1	GTF2E2	0.997
MNAT1	GTF2E1	0.997
MNAT1	GTF2H1	0.999
MNAT1	ERCC2	0.999
MNAT1	GTF2H2	0.999
MNAT1	ERCC3	0.999
MNAT1	GTF2H3	0.999
GTF2H1	GTF2E2	0.996
GTF2H1	GTF2H2	0.999
GTF2H1	ERCC2	0.999
GTF2H1	GTF2E1	0.999
GTF2H1	GTF2H2C	0.999
GTF2H1	ERCC3	0.999
GTF2H1	GTF2H3	0.999
GTF2H2	GTF2H2C	0.986
GTF2H2	GTF2E2	0.997
GTF2H2	GTF2E1	0.998
GTF2H2	GTF2H3	0.999
GTF2H2	ERCC3	0.999
GTF2H2	ERCC2	0.999
GTF2E1	GTF2H2C	0.886
GTF2E1	ERCC2	0.999
GTF2E1	GTF2E2	0.999
GTF2E1	ERCC3	0.999
GTF2E1	GTF2H3	0.999
ERCC3	GTF2H2C	0.996
ERCC3	GTF2H3	0.999
ERCC3	GTF2E2	0.999
ERCC3	ERCC2	0.999
GTF2E2	GTF2H2C	0.887
GTF2E2	ERCC2	0.999
GTF2E2	GTF2H3	0.999
ERCC2	GTF2H2C	0.974
ERCC2	GTF2H3	0.999
GTF2H2C	GTF2H3	0.999
STAG2	CTCFL	0.84
STAG2	NIPBL	0.982
STAG2	SMC3	0.999
STAG2	RAD21	0.999
NIPBL	CTCFL	0.707
NIPBL	SMC3	0.999
NIPBL	RAD21	0.999
RAD21	CTCFL	0.887
RAD21	SMC3	0.999
EZH2	CTCFL	0.706
PRMT7	CTCFL	0.897
SMC3	CTCFL	0.758
CTCFL	CHD8	0.702
H4C6	H4C8	0.975
H4C6	H2BC9	0.989
H4C6	H2BC5	0.992
H4C6	H2BC4	0.992
H4C6	H2AC6	0.993
H4C6	H2BC11	0.994
H4C6	H2BC12	0.997
H4C6	H2BC14	0.997
H4C6	H2BC17	0.998
H4C6	H2BC21	0.999
H2BC5	H2BC12	0.811
H2BC5	H2BC14	0.919
H2BC5	H2BC17	0.945
H2BC5	H4C8	0.965
H2BC5	H2BC21	0.966
H2BC5	H2BC4	0.972
H2BC5	H2BC9	0.977
H2BC5	H2AC6	0.998
H2BC4	H2BC14	0.908
H2BC4	H2BC17	0.941
H2BC4	H2BC9	0.976
H2BC4	H2BC21	0.977
H2BC4	H4C8	0.979
H2BC4	H2AC6	0.99
H2BC12	H2BC9	0.762
H2BC12	H2BC17	0.897
H2BC12	H2BC21	0.929
H2BC12	H2BC11	0.973
H2BC12	H4C8	0.984
H2BC12	H2AC6	0.994
H2BC21	H2BC14	0.907
H2BC21	H2BC17	0.928
H2BC21	H2BC11	0.938
H2BC21	H2BC9	0.941
H2BC21	H4C8	0.985
H2BC21	H2AC6	0.994
H2AC6	H2BC14	0.988
H2AC6	H2BC11	0.988
H2AC6	H2BC17	0.99
H2AC6	H4C8	0.991
H2AC6	H2BC9	0.992
H2BC11	H2BC9	0.744
H2BC11	H2BC17	0.78
H2BC11	H4C8	0.985
H2BC17	H4C8	0.964
H2BC17	H2BC9	0.971
H2BC17	H2BC14	0.971
H2BC14	H2BC9	0.943
H2BC14	H4C8	0.953
H2BC9	H4C8	0.937
H2BC4	H2BC10	0.961
H2BC4	H4C4	0.972
H2BC4	H4C5	0.973
H2BC4	H2BC6	0.976
H2BC4	H2BC7	0.977
H2BC4	H3C4	0.986
H2BC4	H2AC17	0.988
H2BC4	H2AC13	0.998
H2BC7	H2BC6	0.975
H2BC7	H2BC10	0.977
H2BC7	H4C4	0.979
H2BC7	H4C8	0.984
H2BC7	H2AC6	0.985
H2BC7	H3C4	0.986
H2BC7	H2AC17	0.99
H2BC7	H4C5	0.99
H2BC7	H2AC13	0.991
H2AC13	H3C4	0.737
H2AC13	H2AC6	0.955
H2AC13	H4C8	0.972
H2AC13	H2AC17	0.975
H2AC13	H4C4	0.977
H2AC13	H4C5	0.98
H2AC13	H2BC6	0.981
H2AC13	H2BC10	0.991
H2AC17	H3C4	0.824
H2AC17	H2AC6	0.943
H2AC17	H4C4	0.974
H2AC17	H2BC6	0.975
H2AC17	H4C8	0.978
H2AC17	H2BC10	0.985
H2AC17	H4C5	0.989
H2BC10	H3C4	0.962
H2BC10	H2AC6	0.974
H2BC10	H2BC6	0.976
H2BC10	H4C8	0.976
H2BC10	H4C4	0.978
H2BC10	H4C5	0.979
H3C4	H2AC6	0.965
H3C4	H2BC6	0.976
H3C4	H4C5	0.991
H3C4	H4C8	0.993
H3C4	H4C4	0.993
H2AC6	H4C4	0.97
H2AC6	H4C5	0.977
H2AC6	H2BC6	0.979
H4C4	H4C8	0.963
H4C4	H2BC6	0.976
H4C4	H4C5	0.976
H4C5	H2BC6	0.979
H4C5	H4C8	0.988
H4C8	H2BC6	0.979
H2AC8	H2AC18	0.775
H2AC8	H2AC4	0.967
H2AC8	H2AC6	0.967
H2AC8	H3C8	0.98
H2AC8	H3C7	0.988
H2AC8	H3C10	0.993
H2AC8	H3C4	0.995
H2AC8	H4C8	0.996
H2AC8	H4C5	0.996
H2AC8	H2BC21	0.998
H2BC21	H3C8	0.896
H2BC21	H3C7	0.912
H2BC21	H3C4	0.935
H2BC21	H3C10	0.962
H2BC21	H2AC4	0.969
H2BC21	H4C5	0.976
H2BC21	H2AC18	0.999
H2AC18	H3C4	0.726
H2AC18	H2AC6	0.972
H2AC18	H4C5	0.977
H2AC18	H4C8	0.985
H3C10	H3C8	0.924
H3C10	H3C4	0.95
H3C10	H3C7	0.961
H3C10	H2AC4	0.979
H3C10	H2AC6	0.985
H3C10	H4C5	0.988
H3C10	H4C8	0.995
H3C4	H3C8	0.94
H3C4	H3C7	0.941
H3C4	H2AC4	0.982
H2AC6	H2AC4	0.912
H2AC6	H3C8	0.934
H2AC6	H3C7	0.943
H2AC4	H3C8	0.982
H2AC4	H3C7	0.984
H2AC4	H4C8	0.991
H2AC4	H4C5	0.993
H3C7	H3C8	0.941
H3C7	H4C8	0.99
H3C7	H4C5	0.993
H3C8	H4C8	0.988
H3C8	H4C5	0.988
HCN2	HCN3	0.91
HCN2	HCN1	0.956
HCN2	HCN4	0.973
HCN4	PEX5L	0.81
HCN4	HCN3	0.879
HCN4	HCN1	0.904
HCN1	PEX5L	0.798
HCN1	HCN3	0.934
HCN3	PEX5L	0.701
MRPS10	HIBCH	0.954
MRPS10	MRPL46	0.993
MRPS10	MRPS9	0.999
MRPS10	DAP3	0.999
MRPS10	MRPS5	0.999
MRPS10	MRPS35	0.999
MRPS10	MRPS15	0.999
MRPS35	HIBCH	0.963
MRPS35	MRPL46	0.995
MRPS35	MRPS9	0.999
MRPS35	DAP3	0.999
MRPS35	MRPS5	0.999
MRPS35	MRPS15	0.999
EHHADH	HIBADH	0.942
EHHADH	HIBCH	0.957
EHHADH	ECHS1	0.98
MRPS9	HIBCH	0.969
MRPS9	MRPL46	0.997
MRPS9	MRPS15	0.999
MRPS9	MRPS5	0.999
MRPS9	DAP3	0.999
HIBADH	ECHS1	0.733
HIBADH	HIBCH	0.998
MRPS5	HIBCH	0.97
MRPS5	MRPL46	0.996
MRPS5	MRPS15	0.999
MRPS5	DAP3	0.999
MRPL46	HIBCH	0.961
MRPL46	DAP3	0.994
MRPL46	MRPS15	0.998
HIBCH	MRPS15	0.964
HIBCH	DAP3	0.965
HIBCH	ECHS1	0.984
DAP3	MRPS15	0.999
H1-1	CCNA2	0.853
H1-1	CCNE1	0.88
H1-1	H1-8	0.882
H1-1	H1-7	0.923
H1-1	CDK1	0.931
H1-1	H1-5	0.945
H1-1	H2BC21	0.987
H1-1	H2AC18	0.994
H1-1	CDK2	0.995
H1-1	H2AC20	0.995
CCNE1	H1-5	0.746
CCNE1	CCNA2	0.903
CCNE1	CDK1	0.972
CCNE1	CDK2	0.999
CDK2	H2BC21	0.702
CDK2	H1-5	0.933
CDK2	CDK1	0.994
CDK2	CCNA2	0.999
H1-8	H1-5	0.859
H1-8	H1-7	0.952
H1-5	CDK1	0.89
H1-5	H1-7	0.891
H1-5	H2BC21	0.982
H1-5	H2AC18	0.991
H1-5	H2AC20	0.991
H2AC20	H2AC18	0.938
H2AC20	H2BC21	0.999
H2BC21	CDK1	0.799
CDK1	CCNA2	0.999
H1-3	H4C4	0.704
H1-3	H4C13	0.714
H1-3	H4C3	0.745
H1-3	H4C2	0.771
H1-3	H4C5	0.776
H1-3	H1-4	0.95
H4C6	CBX3	0.929
H4C6	H1-4	0.968
H4C6	H4C3	0.97
H4C6	H4C5	0.981
H4C6	H4C13	0.981
H4C6	H4C4	0.982
H4C6	H4C2	0.983
H4C6	KDM4A	0.993
H4C6	H3C12	0.999
H1-4	H4C4	0.944
H1-4	H3C12	0.944
H1-4	H4C13	0.946
H1-4	H4C3	0.946
H1-4	KDM4A	0.952
H1-4	H4C2	0.963
H1-4	H4C5	0.963
H1-4	CBX3	0.983
CBX3	H3C12	0.999
H3C12	H4C3	0.976
H3C12	H4C5	0.978
H3C12	H4C2	0.979
H3C12	H4C4	0.98
H3C12	H4C13	0.98
H3C12	KDM4A	0.999
KDM4A	H4C3	0.91
KDM4A	H4C13	0.911
KDM4A	H4C4	0.911
KDM4A	H4C5	0.912
KDM4A	H4C2	0.916
H4C2	H4C3	0.981
H4C2	H4C4	0.983
H4C2	H4C5	0.988
H4C2	H4C13	0.992
H4C3	H4C4	0.956
H4C3	H4C5	0.957
H4C3	H4C13	0.962
H4C4	H4C13	0.971
H4C13	H4C5	0.963
H4C6	H2BC13	0.936
H4C6	H2BC1	0.989
H4C6	H2AC20	0.999
H4C6	H3-4	0.999
H4C6	H3-3B	0.999
H4C6	H3C13	0.999
H3-3B	RNF20	0.774
H3-3B	H2BC13	0.914
H3-3B	H2BC1	0.916
H3-3B	H2AC20	0.999
H2BC1	HLA-DRA	0.9
H2BC1	HLA-DRB1	0.901
H2BC1	H2BC13	0.913
H2BC1	H3C13	0.916
H2BC1	RNF20	0.92
H2BC1	H3-4	0.932
H2BC1	H3C12	0.983
H2BC1	H2AC20	0.995
H2AC20	RNF20	0.823
H2AC20	H2BC13	0.909
H2AC20	H3-4	0.999
H2AC20	H3C12	0.999
H2AC20	H3C13	0.999
H3C13	RNF20	0.769
H3C13	H2BC13	0.942
H3C12	RNF20	0.768
H3C12	H2BC13	0.939
HLA-DRB1	H2BC13	0.901
H3-4	RNF20	0.764
H3-4	H2BC13	0.94
H2BC13	HLA-DRA	0.9
H2BC13	RNF20	0.924
H4C6	DNMT3B	0.739
H4C6	H2AC7	0.983
H4C6	H2AC21	0.984
H4C6	H2AC8	0.999
H4C6	CENPA	0.999
H3-3B	H2AC21	0.936
H3-3B	H2AC7	0.956
H3-3B	CENPA	0.971
H3-3B	DNMT3B	0.971
H3-3B	H2BC17	0.985
H3-3B	H2AC8	0.986
H2AC8	H2AC7	0.778
H2AC8	H2BC17	0.985
H2AC8	H3C13	0.991
H2AC8	CENPA	0.993
H2AC8	H3C12	0.998
DNMT3B	H2BC17	0.984
DNMT3B	H3C13	0.996
DNMT3B	H3C12	0.997
H2AC21	H3C12	0.75
H2AC21	H2AC6	0.882
H2AC21	H3C13	0.975
H2AC21	H2BC17	0.98
H3C13	H2AC6	0.961
H3C13	H2BC17	0.996
CENPA	H2AC7	0.762
CENPA	H3C12	0.917
CENPA	H2AC6	0.963
CENPA	H2BC17	0.985
H2AC7	H3C12	0.978
H2AC7	H2BC17	0.992
H3C12	H2AC6	0.963
H3C12	H2BC17	0.987
H4C6	BRD4	0.999
H4C6	EP300	0.999
H4C6	H3-5	0.999
H3-3B	EP300	0.962
H3-3B	BRD4	0.995
EP300	H3-5	0.849
EP300	H3C13	0.922
EP300	H2AC20	0.952
EP300	H3-4	0.966
EP300	H2AC8	0.983
EP300	H3C12	0.984
EP300	BRD4	0.988
BRD4	H3-5	0.99
BRD4	H3-4	0.991
BRD4	H3C12	0.992
BRD4	H3C13	0.993
H2AC8	H3-5	0.942
H2AC8	H3-4	0.988
H2AC20	CENPA	0.987
H2AC20	H3-5	0.998
NFYB	RFX5	0.81
NFYB	CIITA	0.95
NFYB	NFYA	0.999
NFYB	NFYC	0.999
RFX1	RFXANK	0.954
RFX1	CIITA	0.958
RFX1	RFXAP	0.961
RFX1	CREB1	0.987
RFXAP	NFYC	0.752
RFXAP	CREB1	0.934
RFXAP	CIITA	0.996
RFXAP	RFXANK	0.999
RFXAP	RFX5	0.999
RFX5	NFYC	0.754
RFX5	NFYA	0.763
RFX5	CREB1	0.868
RFX5	CIITA	0.999
RFX5	RFXANK	0.999
RFXANK	NFYA	0.82
RFXANK	NFYC	0.864
RFXANK	CREB1	0.905
RFXANK	CIITA	0.998
NFYC	CIITA	0.96
NFYC	NFYA	0.999
NFYA	CREB1	0.763
NFYA	CIITA	0.96
STAT1	CREB1	0.743
STAT1	CIITA	0.957
CREB1	CIITA	0.978
NAIP	CIITA	0.931
HLA-F	CD8A	0.948
HLA-F	CALR	0.949
HLA-F	TAPBP	0.959
HLA-F	KIR3DL1	0.964
HLA-F	HLA-B	0.982
HLA-F	HLA-C	0.99
HLA-F	KIR3DL2	0.993
HLA-F	HLA-A	0.996
HLA-F	LILRB1	0.999
HLA-F	B2M	0.999
LILRB1	CD8A	0.752
LILRB1	HLA-B	0.989
LILRB1	HLA-C	0.997
LILRB1	HLA-A	0.999
LILRB1	B2M	0.999
CALR	CD8A	0.801
CALR	HLA-C	0.93
CALR	HLA-B	0.969
CALR	HLA-A	0.997
CALR	TAPBP	0.999
CALR	B2M	0.999
KIR3DL2	HLA-C	0.955
KIR3DL2	KIR3DL1	0.987
KIR3DL2	HLA-B	0.999
KIR3DL2	HLA-A	0.999
HLA-C	TAPBP	0.981
HLA-C	CD8A	0.994
HLA-C	KIR3DL1	0.996
HLA-C	HLA-A	0.998
HLA-C	HLA-B	0.998
HLA-C	B2M	0.999
KIR3DL1	B2M	0.983
KIR3DL1	HLA-A	0.999
KIR3DL1	HLA-B	0.999
HLA-A	TAPBP	0.998
HLA-A	HLA-B	0.999
HLA-A	B2M	0.999
HLA-A	CD8A	0.999
CD8A	HLA-B	0.996
CD8A	B2M	0.998
HLA-B	TAPBP	0.998
HLA-B	B2M	0.999
TAPBP	B2M	0.999
LILRB1	LILRB2	0.793
LILRB1	HLA-E	0.997
KIR3DL2	HLA-E	0.832
HLA-C	LILRB2	0.953
HLA-C	HLA-E	0.989
HLA-E	LILRB2	0.884
HLA-E	KIR3DL1	0.928
HLA-E	TAPBP	0.96
HLA-E	HLA-A	0.989
HLA-E	HLA-B	0.994
HLA-E	B2M	0.999
HLA-E	CD8A	0.999
LILRB2	CD8A	0.718
LILRB2	HLA-B	0.992
LILRB2	HLA-A	0.992
LILRB2	B2M	0.994
HLA-F	KIR2DL3	0.847
HLA-F	KIR2DL1	0.874
HLA-F	KLRD1	0.896
LILRB1	KLRD1	0.862
KIR2DL1	B2M	0.777
KIR2DL1	HLA-A	0.984
KIR2DL1	HLA-B	0.985
KIR2DL1	KIR3DL1	0.993
KIR2DL1	KLRD1	0.995
KIR2DL1	KIR2DL3	0.999
KIR2DL1	HLA-C	0.999
KLRD1	CD8A	0.93
KLRD1	HLA-B	0.945
KLRD1	HLA-A	0.952
KLRD1	B2M	0.98
KLRD1	KIR3DL1	0.986
KLRD1	KIR2DL3	0.996
KLRD1	HLA-C	0.998
KIR2DL3	B2M	0.92
KIR2DL3	HLA-B	0.973
KIR2DL3	HLA-A	0.996
KIR2DL3	KIR3DL1	0.998
KIR2DL3	HLA-C	0.999
CD74	HLA-B	0.8
CD74	HLA-C	0.815
CD74	HLA-DOA	0.966
CD74	HLA-DOB	0.975
CD74	HLA-DMB	0.982
CD74	HLA-DPA1	0.993
CD74	HLA-DMA	0.994
CD74	HLA-DRB1	0.995
CD74	HLA-DRA	0.999
HLA-DOA	HLA-DRB1	0.947
HLA-DOA	HLA-C	0.959
HLA-DOA	HLA-DRA	0.97
HLA-DOA	HLA-DPA1	0.976
HLA-DOA	HLA-B	0.977
HLA-DOA	HLA-DOB	0.98
HLA-DOA	HLA-DMB	0.987
HLA-DOA	HLA-DMA	0.989
HLA-DRB1	HLA-DOB	0.944
HLA-DRB1	HLA-B	0.963
HLA-DRB1	HLA-C	0.967
HLA-DRB1	HLA-DPA1	0.979
HLA-DRB1	HLA-DMB	0.997
HLA-DRB1	HLA-DMA	0.999
HLA-DMA	HLA-C	0.974
HLA-DMA	HLA-B	0.982
HLA-DMA	HLA-DOB	0.996
HLA-DMA	HLA-DRA	0.999
HLA-DMA	HLA-DPA1	0.999
HLA-DMA	HLA-DMB	0.999
HLA-C	HLA-DPA1	0.942
HLA-C	HLA-DMB	0.95
HLA-C	HLA-DOB	0.951
HLA-C	HLA-DRA	0.961
HLA-DRA	HLA-B	0.975
HLA-DRA	HLA-DOB	0.98
HLA-DRA	HLA-DPA1	0.999
HLA-DRA	HLA-DMB	0.999
HLA-DPA1	HLA-DOB	0.947
HLA-DPA1	HLA-B	0.956
HLA-DPA1	HLA-DMB	0.997
HLA-DMB	HLA-B	0.965
HLA-DMB	HLA-DOB	0.998
HLA-B	HLA-DOB	0.956
F6UB75_HUMAN	HLA-DOB	0.985
CD74	HLA-DPB1	0.982
CD74	HLA-DQA1	0.994
CD4	HLA-B	0.89
CD4	HLA-DOA	0.934
CD4	HLA-DMB	0.941
CD4	HLA-DPB1	0.96
CD4	HLA-DMA	0.96
CD4	HLA-DPA1	0.977
CD4	HLA-DQA1	0.982
CD4	HLA-DRB1	0.994
CD4	HLA-DRA	0.997
HLA-DOA	HLA-DQA1	0.739
HLA-DOA	HLA-DPB1	0.977
HLA-DQA1	HLA-B	0.746
HLA-DQA1	HLA-DRA	0.838
HLA-DQA1	HLA-DPA1	0.872
HLA-DQA1	HLA-DMB	0.902
HLA-DQA1	HLA-DMA	0.904
HLA-DQA1	HLA-DPB1	0.967
HLA-DQA1	HLA-DRB1	0.991
HLA-DRB1	HLA-DPB1	0.943
HLA-DMA	HLA-DPB1	0.994
HLA-DRA	HLA-DPB1	0.993
HLA-DPA1	HLA-DPB1	0.999
HLA-DMB	HLA-DPB1	0.988
HLA-B	HLA-DPB1	0.946
CD74	HLA-A	0.807
CD74	HLA-DQB1	0.997
CD4	TNFRSF10A	0.832
CD4	HLA-C	0.857
CD4	HLA-A	0.864
CD4	HLA-DQB1	0.951
TNFRSF10A	HLA-DQB1	0.802
TNFRSF10A	HLA-DRB1	0.868
TNFRSF10A	HLA-DQA1	0.954
TNFRSF10A	TNFRSF25	0.998
HCRT	HLA-DQA1	0.972
HCRT	HLA-DQB1	0.986
HLA-DQA1	HLA-C	0.945
HLA-DQA1	TNFRSF25	0.956
HLA-DQA1	HLA-A	0.973
HLA-DQA1	HLA-DQB1	0.999
HLA-DRB1	TNFRSF25	0.854
HLA-DRB1	HLA-A	0.942
HLA-DQB1	HLA-DPB1	0.765
HLA-DQB1	HLA-C	0.833
HLA-DQB1	HLA-A	0.854
HLA-DQB1	TNFRSF25	0.886
HLA-C	HLA-DPB1	0.938
TNFRSF25	HLA-A	0.818
HLA-A	HLA-DPB1	0.942
CD74	HLA-DQB2	0.966
CD74	HLA-DRB5	0.986
CD74	HLA-DQA2	0.992
CD4	LOC102723407	0.701
CD4	HLA-DRB5	0.945
CD4	HLA-DQA2	0.961
CD4	CD247	0.989
HLA-DRB1	HLA-DQB2	0.765
HLA-DRB1	HLA-DQA2	0.955
CD247	HLA-DQB1	0.757
CD247	HLA-DPB1	0.924
CD247	HLA-DQA2	0.935
CD247	HLA-DRB5	0.945
HLA-DQA2	LOC102723407	0.93
HLA-DQA2	HLA-DRB5	0.931
HLA-DQA2	HLA-DPB1	0.932
HLA-DQA2	HLA-B	0.936
HLA-DQA2	HLA-DQB2	0.942
HLA-DQA2	HLA-DQB1	0.985
HLA-DQB1	HLA-B	0.763
HLA-DRB5	HLA-DQB2	0.704
HLA-DRB5	HLA-DPB1	0.726
HLA-DRB5	LOC102723407	0.937
HLA-B	LOC102723407	0.955
HLA-DPB1	LOC102723407	0.932
CD4	INS	0.829
HCRT	INS	0.835
HLA-DQA1	HLA-DQA2	0.753
HLA-DQA1	INS	0.835
HLA-DMA	HLA-DQA2	0.909
HLA-DMA	HLA-DQB1	0.95
HLA-DQA2	HLA-DRA	0.879
HLA-DQB1	ENSP00000495715	0.945
HLA-DQB1	INS-IGF2	0.947
HLA-DQB1	INS	0.967
INS	INS-IGF2	0.916
HLA-DOA	HLA-DQA2	0.742
HLA-DOA	HLA-DQB2	0.781
HLA-DQA1	HLA-DQB2	0.869
HLA-DQA1	HLA-DOB	0.872
HLA-DMA	HLA-DQB2	0.927
HLA-DQA2	HLA-DPA1	0.859
HLA-DQA2	HLA-DMB	0.892
HLA-DQA2	HLA-DOB	0.915
HLA-DRA	HLA-DQB2	0.962
HLA-DPA1	HLA-DQB2	0.858
HLA-DQB2	HLA-DOB	0.75
HLA-DQB2	HLA-DMB	0.843
CD4	HLA-DOB	0.938
HLA-DMA	HLA-DRB5	0.927
HLA-DQB1	HLA-DOB	0.756
HLA-DQB1	HLA-DPA1	0.915
HLA-DQB1	HLA-DMB	0.928
HLA-DRB5	HLA-DMB	0.88
HLA-DRB5	HLA-DPA1	0.91
HLA-DPB1	HLA-DOB	0.914
CD4	PTPN22	0.793
HLA-DQA1	PTPN22	0.879
PTPN22	HLA-DPA1	0.766
PTPN22	HLA-DRA	0.769
PTPN22	HLA-DRB1	0.968
